id,magnitude,type,title,date,time,updated,url,detailUrl,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,geometryType,depth,latitude,longitude,place,location,continent,country,subnational,city,locality,postcode,what3words,timezone
usp0004cvr,5.8,earthquake,"M 5.8 - 48 km W of Labuan, Indonesia",1990-08-02T15:03:27,649609407650,1651174752871,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004cvr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004cvr&format=geojson,0,0,5,,reviewed,0,518,us,p0004cvr,",gcmtb080290b,usp0004cvr,gcmt19900802150325,iscgem358244,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1,0,mw,Point,47.6,-6.46,105.396,"48 km W of Labuan, Indonesia","Labuan, Indonesia",,Indonesia,Banten,,Banten,,snowiest.imaged.sodden,420
usp0004cj1,5.5,earthquake,"M 5.5 - 140 km NE of Lospalos, Timor Leste",1990-07-26T04:18:28,648965908910,1651175083864,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004cj1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004cj1&format=geojson,0,0,4,,reviewed,0,465,us,p0004cj1,",gcmtb072690a,usp0004cj1,gcmt19900726041826,iscgem364085,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.1,0,mw,Point,130.5,-7.504,127.76,"140 km NE of Lospalos, Timor Leste","Lospalos, Timor Leste",,Indonesia,Maluku,,Maluku,,harsh.scamp.benevolent,540
usp0004cep,5.6,earthquake,"M 5.6 - 7 km W of Da-an Sur, Philippines",1990-07-23T18:02:50,648756170980,1651175073221,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004cep,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004cep&format=geojson,0,0,6,,reviewed,0,482,us,p0004cep,",gcmtb072390d,usp0004cep,gcmt19900723180253,atlas19900723180250,iscgem363809,",",gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,trump-shakemap,",0,0,1.4,0,mw,Point,16.3,11.269,122.348,"7 km W of Da-an Sur, Philippines","Da-an Sur, Philippines",,Philippines,Western Visayas,Tapaz,Tapaz,,impeaching.offline.dancing,480
usp0004cdm,5.6,earthquake,"M 5.6 - 6 km S of Loacan, Philippines",1990-07-23T00:48:58,648694138900,1651175068924,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004cdm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004cdm&format=geojson,0,0,6,,reviewed,0,482,us,p0004cdm,",gcmtb072390a,usp0004cdm,gcmt19900723004859,iscgem363728,atlas19900723004858,",",gcmt,us,gcmt,iscgem,atlas,",",focal-mechanism,impact-text,origin,phase-data,shakemap,trump-shakemap,",0,0,1.1,0,mw,Point,19.5,16.488,120.658,"6 km S of Loacan, Philippines","Loacan, Philippines",,Philippines,Cordillera Administrative Region,Tublay,Ambassador,,constricts.attentive.accustomed,480
usp0004cau,5.7,earthquake,"M 5.7 - 11 km WNW of Salinas, Philippines",1990-07-21T07:23:35,648545015820,1651175034415,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004cau,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004cau&format=geojson,0,0,6,,reviewed,0,500,us,p0004cau,",gcmtb072190a,usp0004cau,gcmt19900721072336,atlas19900721072335,iscgem363523,",",gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.1,0,mw,Point,26.3,16.4,120.919,"11 km WNW of Salinas, Philippines","Salinas, Philippines",,Philippines,Cagayan Valley,Kayapa,Kayapa,,staples.prompt.footfalls,480
usp0004c9m,5.8,earthquake,"M 5.8 - 8 km WNW of Salinas, Philippines",1990-07-20T15:11:17,648486677860,1651175033068,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004c9m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004c9m&format=geojson,0,0,6,,reviewed,0,518,us,p0004c9m,",gcmtb072090b,usp0004c9m,gcmt19900720151117,atlas19900720151120,iscgem363452,",",gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.4,0,mw,Point,17,16.386,120.938,"8 km WNW of Salinas, Philippines","Salinas, Philippines",,Philippines,Cagayan Valley,Kayapa,Kayapa,,performer.wondrously.fajitas,480
usp0004c4m,5.6,earthquake,"M 5.6 - 13 km WNW of Busilak, Philippines",1990-07-18T08:00:12,648288012880,1651175027540,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004c4m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004c4m&format=geojson,0,0,6,,reviewed,0,482,us,p0004c4m,",gcmtb071890b,usp0004c4m,gcmt19900718080013,iscgem363172,atlas19900718080012,",",gcmt,us,gcmt,iscgem,atlas,",",focal-mechanism,impact-text,origin,phase-data,shakemap,trump-shakemap,",0,0,1,0,mw,Point,13.5,16.511,121.007,"13 km WNW of Busilak, Philippines","Busilak, Philippines",,Philippines,Cagayan Valley,Ambaguio,Ambaguio,,unofficial.flushes.patched,480
usp0004c36,6.5,earthquake,"M 6.5 - 14 km NNW of Salinas, Philippines",1990-07-17T21:14:43,648249283860,1651175024560,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004c36,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004c36&format=geojson,0,0,6,,reviewed,0,650,us,p0004c36,",choy19900717211443,gcmtc071790d,usp0004c36,gcmt19900717211440,atlas19900717211445,iscgem363113,",",choy,gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,trump-shakemap,",0,0,1.3,0,mw,Point,23.1,16.495,120.981,"14 km NNW of Salinas, Philippines","Salinas, Philippines",,Philippines,Cagayan Valley,Kayapa,Kayapa,,watery.throwback.breaches,480
usp0004c30,6.1,earthquake,"M 6.1 - 10 km ESE of Ambuclao, Philippines",1990-07-17T18:06:35,648237995330,1651175023260,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004c30,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004c30&format=geojson,0,0,7,,reviewed,0,572,us,p0004c30,",gcmtb071790c,usp0004c30,gcmt19900717180634,atlas19900717180637,iscgem363102,",",gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,trump-shakemap,",0,0,1.3,0,mw,Point,18.3,16.433,120.838,"10 km ESE of Ambuclao, Philippines","Ambuclao, Philippines",,Philippines,Cordillera Administrative Region,Bokod,Bobok-Bisal,,political.brink.insulators,480
usp0004bzn,5.7,earthquake,"M 5.7 - 2 km NNE of Caronoan West, Philippines",1990-07-16T13:31:13,648135073220,1651175004432,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004bzn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004bzn&format=geojson,0,0,6,,reviewed,0,500,us,p0004bzn,",atlas19900716133118,iscgem362939,usp0004bzn,",",atlas,iscgem,us,",",origin,phase-data,shakemap,trump-shakemap,",0,0,1,0,ms,Point,12.7,16.285,120.457,"2 km NNE of Caronoan West, Philippines","Caronoan West, Philippines",,Philippines,Ilocos Region,Rosario,Parasapas,,misbehaved.muffins.acquittals,480
usp0004byu,5.6,earthquake,"M 5.6 - 19 km NNW of Salinas, Philippines",1990-07-16T09:39:21,648121161770,1651174991636,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004byu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004byu&format=geojson,0,0,6,,reviewed,0,482,us,p0004byu,",usp0004byu,atlas19900716093923,iscgem362906,",",us,atlas,iscgem,",",impact-text,origin,phase-data,shakemap,trump-shakemap,",0,0,1.2,0,mb,Point,15.7,16.521,120.93,"19 km NNW of Salinas, Philippines","Salinas, Philippines",,Philippines,Cagayan Valley,Kayapa,Kayapa,,uses.frisks.nieces,480
usp0004byn,5.6,earthquake,"M 5.6 - 2 km N of Halog West, Philippines",1990-07-16T09:29:06,648120546680,1651174986057,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004byn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004byn&format=geojson,0,0,6,,reviewed,0,482,us,p0004byn,",iscgem362900,usp0004byn,",",iscgem,us,",",origin,phase-data,shakemap,",0,0,1,0,mb,Point,18.2,16.385,120.412,"2 km N of Halog West, Philippines","Halog West, Philippines",,Philippines,Ilocos Region,Tubao,Halog West,,checkouts.witless.drench,480
usp0004bxs,7.7,earthquake,"M 7.7 - 4 km E of Macapsing, Philippines",1990-07-16T07:26:34,648113194610,1651174978516,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004bxs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004bxs&format=geojson,0,0,9,,reviewed,0,912,us,p0004bxs,",choy19900716072634,gcmtc071690a,usp0004bxs,duputel071690a,gcmt19900716072634,atlas19900716072634,iscgem362868,",",choy,gcmt,us,duputel,gcmt,atlas,iscgem,",",focal-mechanism,ground-failure,impact-text,moment-tensor,origin,phase-data,shakemap,trump-shakemap,",0,0,1.1,0,mw,Point,25.1,15.679,121.172,"4 km E of Macapsing, Philippines","Macapsing, Philippines",,Philippines,Central Luzon,,Nueva Ecija,,lacquer.ballot.consequence,480
usp0004bgx,5.7,earthquake,"M 5.7 - 41 km SW of Adela, Philippines",1990-07-07T15:37:24,647365044420,1651174932253,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004bgx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004bgx&format=geojson,0,0,5,,reviewed,0,500,us,p0004bgx,",gcmtb070790a,usp0004bgx,gcmt19900707153724,iscgem362011,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.1,0,mw,Point,26.7,12.217,120.662,"41 km SW of Adela, Philippines","Adela, Philippines",,Philippines,,,Sulu Sea,,philosophical.woks.sensitively,480
usp0004bf9,5.6,earthquake,"M 5.6 - 183 km WNW of Gorontalo, Indonesia",1990-07-06T13:39:32,647271572120,1651174929856,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004bf9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004bf9&format=geojson,0,0,6,,reviewed,0,482,us,p0004bf9,",gcmtb070690d,usp0004bf9,gcmt19900706133932,iscgem361892,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.1,0,mw,Point,30.3,1.056,121.5,"183 km WNW of Gorontalo, Indonesia","Gorontalo, Indonesia",,Indonesia,Central Sulawesi,Buol,Buol,,ascribes.subtitles.delivery,480
usp0004beh,5.5,earthquake,"M 5.5 - 14 km WSW of Majalengka, Indonesia",1990-07-06T00:16:20,647223380440,1651174926482,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004beh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004beh&format=geojson,0,0,6,,reviewed,0,465,us,p0004beh,",choy19900706001620,gcmtb070690a,usp0004beh,gcmt19900706001623,atlas19900706001620,iscgem361830,",",choy,gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,trump-shakemap,",0,0,1.4,0,mw,Point,13.5,-6.904,108.12,"14 km WSW of Majalengka, Indonesia","Majalengka, Indonesia",,Indonesia,West Java,,West Java,,capabilities.exactitude.highchair,420
usp0004b0a,5.7,earthquake,"M 5.7 - 231 km E of Amahai, Indonesia",1990-06-25T19:53:39,646343619530,1651175271956,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004b0a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004b0a&format=geojson,0,0,5,,reviewed,0,500,us,p0004b0a,",gcmtb062590b,usp0004b0a,gcmt19900625195339,iscgem367288,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.1,0,mw,Point,33.5,-3.458,131,"231 km E of Amahai, Indonesia","Amahai, Indonesia",,Indonesia,Maluku,,Ceram Sea,,semiconductors.fragment.pedagogically,540
usp0004ah4,5.5,earthquake,"M 5.5 - 8 km SSW of Manika, Philippines",1990-06-14T21:56:48,645400608190,1651175205050,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004ah4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004ah4&format=geojson,0,0,6,,reviewed,0,465,us,p0004ah4,",gcmtb061490d,usp0004ah4,gcmt19900614215647,iscgem366198,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.3,0,mw,Point,22.9,11.312,122.252,"8 km SSW of Manika, Philippines","Manika, Philippines",,Philippines,Western Visayas,Jamindan,Jamindan,,unscrewing.minority.expensive,480
usp0004aga,5.6,earthquake,"M 5.6 - Panay, Philippines",1990-06-14T08:31:10,645352270010,1598658795286,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004aga,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004aga&format=geojson,0,0,5,,reviewed,0,482,us,p0004aga,",usp0004aga,atlas19900614083110,",",us,atlas,",",origin,phase-data,shakemap,trump-shakemap,",0,0,1.1,0,ms,Point,17.8,11.603,121.808,"Panay, Philippines","Panay, Philippines",,Philippines,Western Visayas,Culasi,Culasi,5708,approximations.souffles.purring,480
usp0004ag6,7.1,earthquake,"M 7.1 - 0 km ESE of Union, Philippines",1990-06-14T07:40:56,645349256210,1651166709249,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004ag6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004ag6&format=geojson,0,0,8,,reviewed,0,776,us,p0004ag6,",gcmtc061490b,usp0004ag6,gcmt19900614074053,duputel061490b,atlas19900614074055,iscgem366142,",",gcmt,us,gcmt,duputel,atlas,iscgem,",",focal-mechanism,impact-text,moment-tensor,origin,phase-data,shakemap,trump-shakemap,",0,0,1.2,0,mw,Point,18.1,11.76,121.899,"0 km ESE of Union, Philippines","Union, Philippines",,Philippines,Western Visayas,Libertad,Libertad,5710,podcasting.bandit.logos,480
usp0004af8,5.8,earthquake,"M 5.8 - 24 km E of Pondaguitan, Philippines",1990-06-13T16:41:53,645295313600,1651175191626,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004af8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004af8&format=geojson,0,0,4,,reviewed,0,518,us,p0004af8,",gcmtb061390b,usp0004af8,gcmt19900613164153,iscgem366083,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1,0,mw,Point,77.2,6.371,126.396,"24 km E of Pondaguitan, Philippines","Pondaguitan, Philippines",,Philippines,,,Philippines maritime boundary,,instructs.redistribution.buffalo,480
usp0004ab0,5.6,earthquake,M 5.6 - ,1990-06-09T21:38:21,644967501170,1651175179822,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004ab0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004ab0&format=geojson,0,0,4,,reviewed,0,482,us,p0004ab0,",gcmtb060990b,usp0004ab0,gcmt19900609213820,iscgem365725,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.3,0,mw,Point,34.3,1.253,123.422,,,,Indonesia,North Sulawesi,,North Sulawesi,,wingtips.concerned.mashup,480
usp0004a1z,5.5,earthquake,"M 5.5 - 68 km NNW of Gorontalo, Indonesia",1990-06-02T04:57:57,644302677020,1651175138239,https://earthquake.usgs.gov/earthquakes/eventpage/usp0004a1z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0004a1z&format=geojson,0,0,4,,reviewed,0,465,us,p0004a1z,",gcmtb060290b,usp0004a1z,gcmt19900602045757,iscgem364895,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.1,0,mw,Point,33.8,1.081,122.776,"68 km NNW of Gorontalo, Indonesia","Gorontalo, Indonesia",,Indonesia,Gorontalo,,Gorontalo,,reintroduce.masterworks.instructional,480
usp00049sj,5.8,earthquake,"M 5.8 - 95 km NNE of Gorontalo, Indonesia",1990-05-26T02:57:34,643690654820,1651175390750,https://earthquake.usgs.gov/earthquakes/eventpage/usp00049sj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00049sj&format=geojson,0,0,4,,reviewed,0,518,us,p00049sj,",gcmtb052690a,usp00049sj,gcmt19900526025734,iscgem370356,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.3,0,mw,Point,33.8,1.342,123.371,"95 km NNE of Gorontalo, Indonesia","Gorontalo, Indonesia",,,,,Celebes Sea,,spotlight.mavericks.clumsiest,480
usp00049qy,5.9,earthquake,"M 5.9 - 165 km ENE of Amahai, Indonesia",1990-05-25T02:03:27,643601007560,1651175389709,https://earthquake.usgs.gov/earthquakes/eventpage/usp00049qy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00049qy&format=geojson,0,0,6,,reviewed,0,536,us,p00049qy,",choy19900525020327,gcmtb052590a,usp00049qy,gcmt19900525020329,atlas19900525020329,iscgem370249,",",choy,gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,trump-shakemap,",0,0,1,0,mw,Point,14.6,-2.871,130.338,"165 km ENE of Amahai, Indonesia","Amahai, Indonesia",,Indonesia,Maluku,,Ceram Sea,,backflips.captivating.nascent,540
usp00049k9,5.6,earthquake,"M 5.6 - 60 km SSW of Kroya, Indonesia",1990-05-21T13:24:36,643296276690,1651175379931,https://earthquake.usgs.gov/earthquakes/eventpage/usp00049k9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00049k9&format=geojson,0,0,4,,reviewed,0,482,us,p00049k9,",gcmtb052190b,usp00049k9,gcmt19900521132436,iscgem369917,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.1,0,mw,Point,27.5,-8.137,109.043,"60 km SSW of Kroya, Indonesia","Kroya, Indonesia",,,,,Malay Archipelago,,ellipse.flippancy.purposively,420
usp00049b9,6,earthquake,"M 6.0 - 105 km W of Tomohon, Indonesia",1990-05-15T18:31:39,642796299680,1651166723279,https://earthquake.usgs.gov/earthquakes/eventpage/usp00049b9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00049b9&format=geojson,0,0,5,,reviewed,0,554,us,p00049b9,",gcmtb051590d,usp00049b9,gcmt19900515183140,atlas19900515183141,iscgem369373,",",gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.1,0,mw,Point,29.7,1.158,123.869,"105 km W of Tomohon, Indonesia","Tomohon, Indonesia",,Indonesia,North Sulawesi,,North Sulawesi,,pacify.pigeonholes.statutes,480
usp00048h3,6,earthquake,"M 6.0 - 63 km NNW of Gorontalo, Indonesia",1990-04-26T15:40:34,641144434400,1651175596476,https://earthquake.usgs.gov/earthquakes/eventpage/usp00048h3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00048h3&format=geojson,0,0,5,,reviewed,0,554,us,p00048h3,",choy19900426154034,gcmtb042690c,usp00048h3,gcmt19900426154035,atlas19900426154037,iscgem373815,",",choy,gcmt,us,gcmt,atlas,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1,0,mw,Point,24.4,1.059,122.825,"63 km NNW of Gorontalo, Indonesia","Gorontalo, Indonesia",,Indonesia,Gorontalo,,Gorontalo,,vanquish.inversions.engulf,480
usp000487x,5.5,earthquake,"M 5.5 - 79 km NNE of Gorontalo, Indonesia",1990-04-21T05:14:03,640674843930,1651175566116,https://earthquake.usgs.gov/earthquakes/eventpage/usp000487x,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000487x&format=geojson,0,0,4,,reviewed,0,465,us,p000487x,",gcmtb042190a,usp000487x,gcmt19900421051403,iscgem373138,",",gcmt,us,gcmt,iscgem,",",focal-mechanism,impact-text,origin,phase-data,shakemap,",0,0,1.1,0,mw,Point,32.9,1.234,123.254,"79 km NNE of Gorontalo, Indonesia","Gorontalo, Indonesia",,Indonesia,North Sulawesi,,North Sulawesi,,harped.consists.shirttail,480
